Name                                             Project                        Compat   Latest   Kind         Platform
futures-util->pin-project-lite                   0.2.17                         ---      Removed  Normal       ---
futures-util->pin-project-lite                   0.2.17                         Removed  Removed  Normal       ---
futures-util->slab                               0.4.12                         ---      Removed  Normal       ---
futures-util->slab                               0.4.12                         Removed  Removed  Normal       ---
generic-array->typenum                           1.20.1                         ---      Removed  Normal       ---
generic-array->version_check                     0.9.5                          ---      Removed  Build        ---
getrandom->cfg-if                                1.0.4                          ---      Removed  Normal       ---
getrandom->js-sys                                0.3.104                        0.3.105  0.3.105  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->js-sys                                0.3.104                        0.3.105  0.3.105  Normal       cfg(all(target_family = "wasm", any(target_os = "unknown", target_os = "none"), target_feature = "atomics"))
getrandom->js-sys                                0.3.104                        0.3.105  Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->js-sys                                0.3.104                        Removed  Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->libc                                  0.2.189                        ---      Removed  Normal       cfg(unix)
getrandom->wasi                                  0.11.1+wasi-snapshot-preview1  ---      Removed  Normal       cfg(target_os = "wasi")
getrandom->wasi                                  0.11.1+wasi-snapshot-preview1  Removed  Removed  Normal       cfg(target_os = "wasi")
getrandom->wasm-bindgen                          0.2.127                        0.2.128  0.2.128  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->wasm-bindgen                          0.2.127                        0.2.128  0.2.128  Normal       cfg(all(target_family = "wasm", any(target_os = "unknown", target_os = "none")))
getrandom->wasm-bindgen                          0.2.127                        0.2.128  Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
getrandom->wasm-bindgen                          0.2.127                        Removed  Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
h2->indexmap                                     2.14.1                         2.14.2   2.14.2   Normal       ---
hickory-proto->ipnet                             2.12.1                         2.12.2   2.12.2   Normal       ---
hickory-proto->tinyvec                           1.12.0                         1.13.2   1.13.2   Normal       ---
hkdf->hmac                                       0.12.1                         ---      Removed  Normal       ---
hmac->digest                                     0.10.7                         ---      Removed  Normal       ---
iana-time-zone->js-sys                           0.3.104                        0.3.105  0.3.105  Normal       cfg(all(target_arch = "wasm32", target_os = "unknown"))
iana-time-zone->wasm-bindgen                     0.2.127                        0.2.128  0.2.128  Normal       cfg(all(target_arch = "wasm32", target_os = "unknown"))
iana-time-zone-haiku->cc                         1.4.4                          1.4.5    1.4.5    Build        ---
if-watch->ipnet                                  2.12.1                         2.12.2   2.12.2   Normal       ---
instability->syn                                 3.0.4                          3.0.5    3.0.5    Normal       ---
itertools->either                                1.18.0                         ---      Removed  Normal       ---
js-sys->cfg-if                                   1.0.4                          ---      Removed  Normal       ---
js-sys->cfg-if                                   1.0.4                          Removed  Removed  Normal       ---
js-sys->futures-util                             0.3.34                         ---      Removed  Normal       ---
js-sys->futures-util                             0.3.34                         Removed  Removed  Normal       ---
js-sys->wasm-bindgen                             0.2.127                        0.2.128  0.2.128  Normal       ---
js-sys->wasm-bindgen                             0.2.127                        0.2.128  Removed  Normal       ---
js-sys->wasm-bindgen                             0.2.127                        Removed  Removed  Normal       ---
libp2p-identity                                  0.2.14                         ---      0.3.0    Normal       ---
libp2p-identity->bs58                            0.5.1                          ---      Removed  Normal       ---
libp2p-identity->ed25519-dalek                   2.2.0                          ---      Removed  Normal       ---
libp2p-identity->hkdf                            0.12.4                         ---      Removed  Normal       ---
libp2p-identity->multihash                       0.19.5                         ---      Removed  Normal       ---
libp2p-identity->prost                           0.14.4                         ---      Removed  Normal       ---
libp2p-identity->rand                            0.8.8                          ---      Removed  Normal       ---
libp2p-identity->serde                           1.0.229                        ---      Removed  Normal       ---
libp2p-identity->sha2                            0.10.9                         ---      Removed  Normal       ---
libp2p-identity->thiserror                       2.0.20                         ---      Removed  Normal       ---
libp2p-identity->zeroize                         1.9.0                          ---      Removed  Normal       ---
libp2p-yamux->yamux                              0.12.1                         0.13.10  0.13.10  Normal       ---
libsqlite3-sys                                   0.36.0                         ---      0.38.2   Normal       ---
libsqlite3-sys->cc                               1.4.4                          1.4.5    1.4.5    Build        ---
moka->crossbeam-channel                          0.5.16                         0.5.17   0.5.17   Normal       ---
moka->crossbeam-epoch                            0.9.20                         0.9.21   0.9.21   Normal       ---
moka->crossbeam-utils                            0.8.22                         0.8.23   0.8.23   Normal       ---
multihash->serde                                 1.0.229                        ---      Removed  Normal       ---
multihash->unsigned-varint                       0.8.0                          ---      Removed  Normal       ---
once_cell->critical-section                      1.2.0                          ---      Removed  Normal       ---
once_cell->critical-section                      1.2.0                          Removed  Removed  Normal       ---
once_cell->portable-atomic                       1.15.0                         ---      Removed  Normal       ---
once_cell->portable-atomic                       1.15.0                         Removed  Removed  Normal       ---
oslog->cc                                        1.4.4                          1.4.5    1.4.5    Build        ---
pest_derive->pest                                2.9.0                          2.9.1    2.9.1    Normal       ---
pest_derive->pest_generator                      2.9.0                          2.9.1    2.9.1    Normal       ---
pest_generator->pest                             2.9.0                          2.9.1    2.9.1    Normal       ---
pest_generator->pest_meta                        2.9.0                          2.9.1    2.9.1    Normal       ---
pest_meta->pest                                  2.9.0                          2.9.1    2.9.1    Normal       ---
petname-macros->syn                              3.0.4                          3.0.5    3.0.5    Normal       ---
pkcs8->der                                       0.7.10                         ---      Removed  Normal       ---
pkcs8->spki                                      0.7.3                          ---      Removed  Normal       ---
ppv-lite86->zerocopy                             0.8.56                         ---      Removed  Normal       ---
proc-macro2->unicode-ident                       1.0.24                         ---      Removed  Normal       ---
proc-macro2->unicode-ident                       1.0.24                         Removed  Removed  Normal       ---
prost->bytes                                     1.12.1                         ---      Removed  Normal       ---
prost->prost-derive                              0.14.4                         ---      Removed  Normal       ---
prost-derive->anyhow                             1.0.104                        ---      Removed  Normal       ---
prost-derive->itertools                          0.14.0                         ---      Removed  Normal       ---
prost-derive->proc-macro2                        1.0.107                        ---      Removed  Normal       ---
